card1,card2,theme,oracle,meaning
The Pearl,The Ear,,,
The Pearl,The Inner Eye,,,
The Pearl,The Shattered Shell,,,
The Pearl,The Hearthstone,,,
The Pearl,The Selkie,,,
The Pearl,The Heart,,,
The Pearl,The Satyr,,,
The Pearl,The Cave,,,
The Pearl,The Bone Skull,,,
The Pearl,The Wheel,,,
The Pearl,The Mirror,,,
The Pearl,The Bat,,,
The Pearl,The Thorn,,,
The Pearl,The Angel,,,
The Pearl,The Torch,,,
The Pearl,The Lightning,,,
The Pearl,The Starling,,,
The Pearl,The Moon,,,
The Pearl,The Sun,,,
The Pearl,The Well,,,
The Pearl,The Mountain,,,
The Pearl,Atlas,,,
The Pearl,The Hawk,,,
The Pearl,The Storm,,,
The Pearl,The Vulture,,,
The Pearl,The Eye of Horus,,,
The Pearl,The Goat,,,
The Pearl,The Harpy,,,
The Ear,The Inner Eye,,,
The Ear,The Shattered Shell,,,
The Ear,The Hearthstone,,,
The Ear,The Selkie,,,
The Ear,The Heart,,,
The Ear,The Satyr,,,
The Ear,The Cave,,,
The Ear,The Bone Skull,,,
The Ear,The Wheel,,,
The Ear,The Mirror,,,
The Ear,The Bat,,,
The Ear,The Thorn,,,
The Ear,The Angel,,,
The Ear,The Torch,,,
The Ear,The Lightning,,,
The Ear,The Starling,,,
The Ear,The Moon,,,
The Ear,The Sun,,,
The Ear,The Well,,,
The Ear,The Mountain,,,
The Ear,Atlas,,,
The Ear,The Hawk,,,
The Ear,The Storm,,,
The Ear,The Vulture,,,
The Ear,The Eye of Horus,,,
The Ear,The Goat,,,
The Ear,The Harpy,,,
The Inner Eye,The Shattered Shell,,,
The Inner Eye,The Hearthstone,,,
The Inner Eye,The Selkie,,,
The Inner Eye,The Heart,,,
The Inner Eye,The Satyr,,,
The Inner Eye,The Cave,,,
The Inner Eye,The Bone Skull,,,
The Inner Eye,The Wheel,,,
The Inner Eye,The Mirror,,,
The Inner Eye,The Bat,,,
The Inner Eye,The Thorn,,,
The Inner Eye,The Angel,,,
The Inner Eye,The Torch,,,
The Inner Eye,The Lightning,,,
The Inner Eye,The Starling,,,
