card1,card2,card3,theme,oracle,meaning
The Pearl,The Ear,The Inner Eye,,,
The Pearl,The Ear,The Shattered Shell,,,
The Pearl,The Ear,The Hearthstone,,,
The Pearl,The Ear,The Selkie,,,
The Pearl,The Ear,The Heart,,,
The Pearl,The Ear,The Satyr,,,
The Pearl,The Ear,The Cave,,,
The Pearl,The Ear,The Bone Skull,,,
The Pearl,The Ear,The Wheel,,,
The Pearl,The Ear,The Mirror,,,
The Pearl,The Ear,The Bat,,,
The Pearl,The Ear,The Thorn,,,
The Pearl,The Ear,The Angel,,,
The Pearl,The Ear,The Torch,,,
The Pearl,The Ear,The Lightning,,,
The Pearl,The Ear,The Starling,,,
The Pearl,The Ear,The Moon,,,
The Pearl,The Ear,The Sun,,,
The Pearl,The Ear,The Well,,,
The Pearl,The Ear,The Mountain,,,
The Pearl,The Ear,Atlas,,,
The Pearl,The Ear,The Hawk,,,
The Pearl,The Ear,The Storm,,,
The Pearl,The Ear,The Vulture,,,
The Pearl,The Ear,The Eye of Horus,,,
The Pearl,The Ear,The Goat,,,
The Pearl,The Ear,The Harpy,,,
The Pearl,The Inner Eye,The Shattered Shell,,,
The Pearl,The Inner Eye,The Hearthstone,,,
The Pearl,The Inner Eye,The Selkie,,,
The Pearl,The Inner Eye,The Heart,,,
The Pearl,The Inner Eye,The Satyr,,,
The Pearl,The Inner Eye,The Cave,,,
The Pearl,The Inner Eye,The Bone Skull,,,
The Pearl,The Inner Eye,The Wheel,,,
The Pearl,The Inner Eye,The Mirror,,,
The Pearl,The Inner Eye,The Bat,,,
The Pearl,The Inner Eye,The Thorn,,,
The Pearl,The Inner Eye,The Angel,,,
The Pearl,The Inner Eye,The Torch,,,
The Pearl,The Inner Eye,The Lightning,,,
The Pearl,The Inner Eye,The Starling,,,
The Pearl,The Inner Eye,The Moon,,,
The Pearl,The Inner Eye,The Sun,,,
The Pearl,The Inner Eye,The Well,,,
The Pearl,The Inner Eye,The Mountain,,,
The Pearl,The Inner Eye,Atlas,,,
The Pearl,The Inner Eye,The Hawk,,,
The Pearl,The Inner Eye,The Storm,,,
The Pearl,The Inner Eye,The Vulture,,,
The Pearl,The Inner Eye,The Eye of Horus,,,
The Pearl,The Inner Eye,The Goat,,,
The Pearl,The Inner Eye,The Harpy,,,
The Pearl,The Shattered Shell,The Hearthstone,,,
The Pearl,The Shattered Shell,The Selkie,,,
The Pearl,The Shattered Shell,The Heart,,,
The Pearl,The Shattered Shell,The Satyr,,,
The Pearl,The Shattered Shell,The Cave,,,
The Pearl,The Shattered Shell,The Bone Skull,,,
The Pearl,The Shattered Shell,The Wheel,,,
The Pearl,The Shattered Shell,The Mirror,,,
The Pearl,The Shattered Shell,The Bat,,,
The Pearl,The Shattered Shell,The Thorn,,,
The Pearl,The Shattered Shell,The Angel,,,
The Pearl,The Shattered Shell,The Torch,,,
The Pearl,The Shattered Shell,The Lightning,,,
The Pearl,The Shattered Shell,The Starling,,,
The Pearl,The Shattered Shell,The Moon,,,
The Pearl,The Shattered Shell,The Sun,,,
The Pearl,The Shattered Shell,The Well,,,
The Pearl,The Shattered Shell,The Mountain,,,
The Pearl,The Shattered Shell,Atlas,,,
The Pearl,The Shattered Shell,The Hawk,,,
The Pearl,The Shattered Shell,The Storm,,,
The Pearl,The Shattered Shell,The Vulture,,,
The Pearl,The Shattered Shell,The Eye of Horus,,,
The Pearl,The Shattered Shell,The Goat,,,
The Pearl,The Shattered Shell,The Harpy,,,
The Pearl,The Hearthstone,The Selkie,,,
The Pearl,The Hearthstone,The Heart,,,
The Pearl,The Hearthstone,The Satyr,,,
The Pearl,The Hearthstone,The Cave,,,
The Pearl,The Hearthstone,The Bone Skull,,,
The Pearl,The Hearthstone,The Wheel,,,
The Pearl,The Hearthstone,The Mirror,,,
The Pearl,The Hearthstone,The Bat,,,
The Pearl,The Hearthstone,The Thorn,,,
The Pearl,The Hearthstone,The Angel,,,
The Pearl,The Hearthstone,The Torch,,,
The Pearl,The Hearthstone,The Lightning,,,
The Pearl,The Hearthstone,The Starling,,,
The Pearl,The Hearthstone,The Moon,,,
The Pearl,The Hearthstone,The Sun,,,
The Pearl,The Hearthstone,The Well,,,
The Pearl,The Hearthstone,The Mountain,,,
The Pearl,The Hearthstone,Atlas,,,
The Pearl,The Hearthstone,The Hawk,,,
The Pearl,The Hearthstone,The Storm,,,
The Pearl,The Hearthstone,The Vulture,,,
The Pearl,The Hearthstone,The Eye of Horus,,,
The Pearl,The Hearthstone,The Goat,,,
The Pearl,The Hearthstone,The Harpy,,,
The Pearl,The Selkie,The Heart,,,
The Pearl,The Selkie,The Satyr,,,
The Pearl,The Selkie,The Cave,,,
The Pearl,The Selkie,The Bone Skull,,,
The Pearl,The Selkie,The Wheel,,,
The Pearl,The Selkie,The Mirror,,,
The Pearl,The Selkie,The Bat,,,
The Pearl,The Selkie,The Thorn,,,
The Pearl,The Selkie,The Angel,,,
The Pearl,The Selkie,The Torch,,,
The Pearl,The Selkie,The Lightning,,,
The Pearl,The Selkie,The Starling,,,
The Pearl,The Selkie,The Moon,,,
The Pearl,The Selkie,The Sun,,,
The Pearl,The Selkie,The Well,,,
The Pearl,The Selkie,The Mountain,,,
The Pearl,The Selkie,Atlas,,,
The Pearl,The Selkie,The Hawk,,,
The Pearl,The Selkie,The Storm,,,
The Pearl,The Selkie,The Vulture,,,
The Pearl,The Selkie,The Eye of Horus,,,
The Pearl,The Selkie,The Goat,,,
The Pearl,The Selkie,The Harpy,,,
The Pearl,The Heart,The Satyr,,,
The Pearl,The Heart,The Cave,,,
The Pearl,The Heart,The Bone Skull,,,
The Pearl,The Heart,The Wheel,,,
The Pearl,The Heart,The Mirror,,,
The Pearl,The Heart,The Bat,,,
The Pearl,The Heart,The Thorn,,,
The Pearl,The Heart,The Angel,,,
The Pearl,The Heart,The Torch,,,
The Pearl,The Heart,The Lightning,,,
The Pearl,The Heart,The Starling,,,
The Pearl,The Heart,The Moon,,,
The Pearl,The Heart,The Sun,,,
The Pearl,The Heart,The Well,,,
The Pearl,The Heart,The Mountain,,,
The Pearl,The Heart,Atlas,,,
The Pearl,The Heart,The Hawk,,,
The Pearl,The Heart,The Storm,,,
The Pearl,The Heart,The Vulture,,,
The Pearl,The Heart,The Eye of Horus,,,
The Pearl,The Heart,The Goat,,,
The Pearl,The Heart,The Harpy,,,
The Pearl,The Satyr,The Cave,,,
The Pearl,The Satyr,The Bone Skull,,,
The Pearl,The Satyr,The Wheel,,,
The Pearl,The Satyr,The Mirror,,,
The Pearl,The Satyr,The Bat,,,
The Pearl,The Satyr,The Thorn,,,
The Pearl,The Satyr,The Angel,,,
The Pearl,The Satyr,The Torch,,,
The Pearl,The Satyr,The Lightning,,,
The Pearl,The Satyr,The Starling,,,
The Pearl,The Satyr,The Moon,,,
The Pearl,The Satyr,The Sun,,,
The Pearl,The Satyr,The Well,,,
The Pearl,The Satyr,The Mountain,,,
The Pearl,The Satyr,Atlas,,,
The Pearl,The Satyr,The Hawk,,,
The Pearl,The Satyr,The Storm,,,
The Pearl,The Satyr,The Vulture,,,
