category,theme
Origins,Seed
Origins,Herald
Origins,Witness
Origins,Growth
Origins,Guardian
Departure,Exile
Departure,Lover
Departure,Wanderer
Departure,Initiation
Descent,Ancestors
Descent,Rebirth
Descent,Recognition
Descent,Perspective
Descent,Wisdom
Restoration,Healer
Restoration,Power
Restoration,Illumination
Restoration,Hope
Integration,Subconscious
Integration,Consciousness
Integration,Nourishment
Mastery,Obstacles Overcome
Mastery,Responsibility
Mastery,Overview
Transformation,Flood
Transformation,Transformation
Transformation,Wholeness
Sovereignty,Accomplishment
Sovereignty,Sovereignty
